15:56:21: newinfo
14:32:48: Decomposing completed, time elapse: 488.899seconds
17:19:34: Decomposing poses, time elapse: 138.002seconds
17:19:36: Calculating kernel matrix, time elapse: 1.888seconds
17:26:04: Decomposing movements and ethograms, time elapse: 388.845seconds
18:17:01: Decomposing poses, time elapse: 136.89seconds
18:17:03: Calculating kernel matrix, time elapse: 1.663seconds
18:22:45: Decomposing movements and ethograms, time elapse: 342.179seconds
18:44:12: Decomposing poses, time elapse: 116.601seconds
18:44:14: Calculating kernel matrix, time elapse: 0.859seconds
18:46:26: Decomposing movements and ethograms, time elapse: 132.251seconds
18:46:46: Decomposing completed, time elapse: 269.865seconds
18:50:01: Decomposing poses, time elapse: 133.521seconds
18:50:03: Calculating kernel matrix, time elapse: 1.339seconds
18:54:30: Decomposing movements and ethograms, time elapse: 267.198seconds
18:54:56: Decomposing completed, time elapse: 428.999seconds
18:59:03: Decomposing poses, time elapse: 148.088seconds
18:59:04: Calculating kernel matrix, time elapse: 1.221seconds
19:03:14: Decomposing movements and ethograms, time elapse: 250.06seconds
19:03:34: Decomposing completed, time elapse: 419.698seconds
08:42:57: Decomposing poses, time elapse: 113.909seconds
08:42:58: Calculating kernel matrix, time elapse: 0.742seconds
08:46:37: Decomposing poses, time elapse: 106.693seconds
08:46:37: Calculating kernel matrix, time elapse: 0.644seconds
08:47:49: Decomposing movements and ethograms, time elapse: 71.075seconds
08:48:03: Decomposing completed, time elapse: 192.933seconds
08:52:55: Decomposing poses, time elapse: 127.944seconds
08:52:56: Calculating kernel matrix, time elapse: 1.462seconds
08:57:49: Decomposing movements and ethograms, time elapse: 292.093seconds
08:58:05: Decomposing completed, time elapse: 438.243seconds
18:29:19: Decomposing poses, time elapse: 99.8608seconds
18:33:52: Decomposing poses, time elapse: 96.1586seconds
18:33:54: Calculating kernel matrix, time elapse: 1.5744seconds
18:44:30: Decomposing poses, time elapse: 109.74seconds
18:44:31: Calculating kernel matrix, time elapse: 1.327seconds
18:48:37: Decomposing movements and ethograms, time elapse: 245.133seconds
18:48:54: Decomposing completed, time elapse: 373.512seconds
19:16:24: Decomposing poses, time elapse: 141.289seconds
19:16:26: Calculating kernel matrix, time elapse: 1.544seconds
19:21:38: Decomposing movements and ethograms, time elapse: 311.546seconds
19:21:55: Decomposing completed, time elapse: 471.906seconds
19:51:23: Decomposing poses, time elapse: 147.013seconds
19:51:25: Calculating kernel matrix, time elapse: 1.901seconds
19:57:50: Decomposing movements and ethograms, time elapse: 384.909seconds
19:58:07: Decomposing completed, time elapse: 550.654seconds
20:48:29: Decomposing poses, time elapse: 120.682seconds
20:48:31: Calculating kernel matrix, time elapse: 1.292seconds
20:52:33: Decomposing movements and ethograms, time elapse: 241.908seconds
20:52:53: Decomposing completed, time elapse: 384.887seconds
22:22:50: Decomposing poses, time elapse: 136.378seconds
22:22:51: Calculating kernel matrix, time elapse: 1.61seconds
22:28:06: Decomposing movements and ethograms, time elapse: 314.543seconds
22:28:25: Decomposing completed, time elapse: 471.492seconds
09:29:13: Decomposing poses, time elapse: 125.2542seconds
09:29:13: Calculating kernel matrix, time elapse: 0.73976seconds
09:31:52: Decomposing movements and ethograms, time elapse: 158.9958seconds
09:48:16: Decomposing poses, time elapse: 146.172seconds
09:48:18: Calculating kernel matrix, time elapse: 1.759seconds
09:54:02: Decomposing movements and ethograms, time elapse: 344.296seconds
09:54:21: Decomposing completed, time elapse: 511.326seconds
10:57:49: Decomposing poses, time elapse: 142.726seconds
10:57:51: Calculating kernel matrix, time elapse: 1.613seconds
22:28:06: Decomposing poses, time elapse: 119.698seconds
22:28:09: Calculating kernel matrix, time elapse: 2.2228seconds
22:50:48: Decomposing movements and ethograms, time elapse: 1359.151seconds
12:18:39: Decomposing poses, time elapse: 888.5411seconds
12:18:51: Calculating kernel matrix, time elapse: 12.1717seconds
12:46:29: Decomposing movements and ethograms, time elapse: 1657.8123seconds
12:46:45: Decomposing completed, time elapse: 2574.0717seconds
13:34:11: Decomposing poses, time elapse: 66.727seconds
13:34:11: Calculating kernel matrix, time elapse: 0.553seconds
13:41:13: Decomposing poses, time elapse: 67.446seconds
13:41:13: Calculating kernel matrix, time elapse: 0.537seconds
13:43:37: Decomposing movements and ethograms, time elapse: 144.011seconds
13:46:41: Decomposing poses, time elapse: 65.758seconds
13:46:42: Calculating kernel matrix, time elapse: 0.522seconds
13:48:59: Decomposing movements and ethograms, time elapse: 137.294seconds
13:49:09: Decomposing completed, time elapse: 213.121seconds
13:59:15: Decomposing poses, time elapse: 76.583seconds
13:59:16: Calculating kernel matrix, time elapse: 0.556seconds
14:01:53: Decomposing movements and ethograms, time elapse: 156.945seconds
14:02:02: Decomposing completed, time elapse: 243.31seconds
21:07:39: Decomposing poses, time elapse: 71.763seconds
21:07:40: Calculating kernel matrix, time elapse: 0.365seconds
21:07:43: Decomposing movements and ethograms, time elapse: 3.401seconds
21:15:38: Decomposing poses, time elapse: 362.726seconds
21:15:38: Calculating kernel matrix, time elapse: 0.401seconds
21:17:29: Decomposing movements and ethograms, time elapse: 110.209seconds
21:17:42: Decomposing completed, time elapse: 487.136seconds
21:29:50: Decomposing poses, time elapse: 365.632seconds
21:29:50: Calculating kernel matrix, time elapse: 0.433seconds
21:31:44: Decomposing movements and ethograms, time elapse: 113.465seconds
21:31:57: Decomposing completed, time elapse: 492.493seconds
21:38:06: Decomposing poses, time elapse: 349.645seconds
21:38:06: Calculating kernel matrix, time elapse: 0.419seconds
21:39:59: Decomposing movements and ethograms, time elapse: 113.152seconds
21:40:12: Decomposing completed, time elapse: 475.581seconds
21:46:18: Decomposing poses, time elapse: 346.025seconds
21:46:19: Calculating kernel matrix, time elapse: 0.421seconds
21:47:59: Decomposing movements and ethograms, time elapse: 100.252seconds
21:48:11: Decomposing completed, time elapse: 458.729seconds
23:59:16: Decomposing poses, time elapse: 355.701seconds
23:59:30: Calculating kernel matrix, time elapse: 0.502seconds
00:01:54: Calculating kernel matrix, time elapse: 0.439seconds
00:03:59: Decomposing movements and ethograms, time elapse: 44.006seconds
